,City,Country,Lat,Long,Max Temp,Humidity,Wind Speed,Cloud Cover
0,Mataura,NZ,-46.19,168.86,6.59,90,3.83,Rain
1,Mataura,NZ,-46.19,168.86,6.59,90,3.83,Rain
2,Busselton,AU,-33.65,115.33,13.33,74,5.81,Clouds
3,Busselton,AU,-33.65,115.33,13.33,74,5.81,Clouds
4,Guangming,CN,45.33,122.78,11.18,41,2.96,Clouds
5,Guangming,CN,45.33,122.78,11.18,41,2.96,Clouds
6,Usevya,TZ,-7.1,31.23,18.75,60,1.13,Clear
7,Usevya,TZ,-7.1,31.23,18.75,60,1.13,Clear
8,Bac Lieu,VN,9.29,105.72,28.39,73,1.57,Clear
9,Bac Lieu,VN,9.29,105.72,28.39,73,1.57,Clear
10,Mahébourg,MU,-20.41,57.7,24.0,83,3.6,Clouds
11,Suntar,RU,62.14,117.63,2.75,73,2.37,Clouds
12,Suntar,RU,62.14,117.63,2.75,73,2.37,Clouds
13,Djibouti,DJ,11.5,42.5,30.0,79,4.86,Clouds
14,Djibouti,DJ,11.5,42.5,30.0,79,4.86,Clouds
15,Puerto Ayora,EC,-0.74,-90.35,29.0,70,7.2,Clouds
16,Puerto Ayora,EC,-0.74,-90.35,29.0,70,7.2,Clouds
17,Qaanaaq,GL,77.48,-69.36,-7.97,93,2.2,Clouds
18,Qaanaaq,GL,77.48,-69.36,-7.97,93,2.2,Clouds
19,Athabasca,CA,54.72,-113.29,17.48,32,5.03,Rain
20,Athabasca,CA,54.72,-113.29,17.48,32,5.03,Rain
21,Albany,US,42.6,-73.97,11.67,56,2.24,Clouds
22,Albany,US,42.6,-73.97,11.67,56,2.24,Clouds
23,Norman Wells,CA,65.28,-126.83,4.0,55,6.7,Clouds
24,Norman Wells,CA,65.28,-126.83,4.0,55,6.7,Clouds
25,Mahon,ES,39.89,4.27,18.0,82,4.1,Clouds
26,Mahon,ES,39.89,4.27,18.0,82,4.1,Clouds
27,Port Lincoln,AU,-34.73,135.87,13.96,53,5.89,Clouds
28,Port Lincoln,AU,-34.73,135.87,13.96,53,5.89,Clouds
29,Rikitea,PF,-23.12,-134.97,22.93,70,5.4,Clouds
30,Rikitea,PF,-23.12,-134.97,22.93,70,5.4,Clouds
31,Pevek,RU,69.7,170.31,-8.89,95,2.88,Clouds
32,Pevek,RU,69.7,170.31,-8.89,95,2.88,Clouds
33,Port Elizabeth,ZA,-33.92,25.57,13.0,100,1.0,Clear
34,Port Elizabeth,ZA,-33.92,25.57,13.0,100,1.0,Clear
35,Jamestown,US,42.1,-79.24,7.78,57,6.2,Clouds
36,Jamestown,US,42.1,-79.24,7.78,57,6.2,Clouds
37,Bethel,US,41.37,-73.41,14.44,50,5.7,Clouds
38,Bethel,US,41.37,-73.41,14.44,50,5.7,Clouds
39,Tuktoyaktuk,CA,69.45,-133.04,-10.0,78,5.7,Clear
40,Tuktoyaktuk,CA,69.45,-133.04,-10.0,78,5.7,Clear
41,Gemeente Wageningen,NL,51.97,5.67,8.33,75,4.1,Clear
42,Gemeente Wageningen,NL,51.97,5.67,8.33,75,4.1,Clear
43,Hilo,US,19.73,-155.09,28.0,54,3.6,Clouds
44,Hilo,US,19.73,-155.09,28.0,54,3.6,Clouds
45,Ploufragan,FR,48.49,-2.79,14.44,93,5.7,Rain
46,Ploufragan,FR,48.49,-2.79,14.44,93,5.7,Rain
47,Thompson,CA,55.74,-97.86,9.0,34,2.6,Clouds
48,Thompson,CA,55.74,-97.86,9.0,34,2.6,Clouds
49,Avarua,CK,-21.21,-159.78,27.0,83,2.6,Clear
50,Avarua,CK,-21.21,-159.78,27.0,83,2.6,Clear
51,Jämsä,FI,61.86,25.19,4.0,69,2.1,Clouds
52,Jämsä,FI,61.86,25.19,4.0,69,2.1,Clouds
53,Chui,UY,-33.7,-53.46,15.45,85,4.11,Rain
54,Chui,UY,-33.7,-53.46,15.45,85,4.11,Rain
55,Guilin,CN,25.28,110.29,27.0,74,5.0,Clouds
56,Guilin,CN,25.28,110.29,27.0,74,5.0,Clouds
57,Natal,BR,-5.79,-35.21,25.0,94,1.5,Clouds
58,Natal,BR,-5.79,-35.21,25.0,94,1.5,Clouds
59,New Norfolk,AU,-42.78,147.06,7.22,91,1.4,Clouds
60,New Norfolk,AU,-42.78,147.06,7.22,91,1.4,Clouds
61,Anloga,GH,5.79,0.9,27.0,88,2.25,Clouds
62,Anloga,GH,5.79,0.9,27.0,88,2.25,Clouds
63,Nanzhou,CN,29.36,112.4,22.2,91,4.09,Rain
64,Nanzhou,CN,29.36,112.4,22.2,91,4.09,Rain
65,College,US,64.86,-147.8,14.44,40,4.6,Clouds
66,College,US,64.86,-147.8,14.44,40,4.6,Clouds
67,Kampene,CD,-3.6,26.67,21.63,78,0.99,Clouds
68,Kampene,CD,-3.6,26.67,21.63,78,0.99,Clouds
69,La Carolina,ES,38.28,-3.62,19.44,65,1.79,Clouds
70,La Carolina,ES,38.28,-3.62,19.44,65,1.79,Clouds
71,Lebu,CL,-37.62,-73.65,14.48,93,1.27,Rain
72,Lebu,CL,-37.62,-73.65,14.48,93,1.27,Rain
73,Batemans Bay,AU,-35.72,150.18,7.78,100,1.32,Clear
74,Batemans Bay,AU,-35.72,150.18,7.78,100,1.32,Clear
75,Luau,AO,-10.71,22.22,18.87,65,1.15,Rain
76,Luau,AO,-10.71,22.22,18.87,65,1.15,Rain
77,Kahului,US,20.89,-156.47,28.0,54,11.3,Clouds
78,Kahului,US,20.89,-156.47,28.0,54,11.3,Clouds
79,Mount Isa,AU,-20.73,139.5,10.0,46,2.1,Clear
80,Mount Isa,AU,-20.73,139.5,10.0,46,2.1,Clear
81,Pedernales,DO,18.04,-71.74,28.65,64,2.17,Rain
82,Pedernales,DO,18.04,-71.74,28.65,64,2.17,Rain
83,Katsuura,JP,35.13,140.3,18.33,100,1.0,Mist
84,Katsuura,JP,35.13,140.3,18.33,100,1.0,Mist
85,Narimanov,RU,46.69,47.85,18.0,72,4.0,Clear
86,Narimanov,RU,46.69,47.85,18.0,72,4.0,Clear
87,Buala,SB,-8.14,159.59,28.98,74,2.79,Clouds
88,Buala,SB,-8.14,159.59,28.98,74,2.79,Clouds
89,Ushuaia,AR,-54.8,-68.3,7.0,65,11.8,Clear
90,Ushuaia,AR,-54.8,-68.3,7.0,65,11.8,Clear
91,Alice Springs,AU,-23.7,133.88,4.0,64,2.6,Clear
92,Alice Springs,AU,-23.7,133.88,4.0,64,2.6,Clear
93,Atuona,PF,-9.8,-139.03,27.74,73,7.95,Clear
94,Atuona,PF,-9.8,-139.03,27.74,73,7.95,Clear
95,Oistins,BB,13.07,-59.53,28.0,74,9.3,Clouds
96,Oistins,BB,13.07,-59.53,28.0,74,9.3,Clouds
97,Barrow,US,71.29,-156.79,-14.0,84,4.1,Clouds
98,Barrow,US,71.29,-156.79,-14.0,84,4.1,Clouds
99,Giyani,ZA,-23.3,30.72,18.14,74,2.91,Clear
100,Giyani,ZA,-23.3,30.72,18.14,74,2.91,Clear
101,Tiksi,RU,71.69,128.87,-8.14,96,4.49,Snow
102,Tiksi,RU,71.69,128.87,-8.14,96,4.49,Snow
103,Karpathos,GR,35.51,27.21,17.0,63,7.2,Clouds
104,Karpathos,GR,35.51,27.21,17.0,63,7.2,Clouds
105,Hobart,AU,-42.88,147.33,7.22,87,3.6,Clouds
106,Hobart,AU,-42.88,147.33,7.22,87,3.6,Clouds
107,Tahe,CN,52.33,124.73,4.38,50,0.57,Clouds
108,Tahe,CN,52.33,124.73,4.38,50,0.57,Clouds
109,Hermanus,ZA,-34.42,19.23,13.89,89,0.45,Clouds
110,Hermanus,ZA,-34.42,19.23,13.89,89,0.45,Clouds
111,Raudeberg,NO,61.99,5.14,2.22,80,0.56,Clouds
112,Raudeberg,NO,61.99,5.14,2.22,80,0.56,Clouds
113,San Patricio,MX,19.22,-104.7,26.0,78,2.6,Clouds
114,San Patricio,MX,19.22,-104.7,26.0,78,2.6,Clouds
115,George Town,MY,5.41,100.34,27.0,94,0.7,Clouds
116,George Town,MY,5.41,100.34,27.0,94,0.7,Clouds
117,Adrar,MR,20.5,-10.07,31.48,10,0.65,Clear
118,Adrar,MR,20.5,-10.07,31.48,10,0.65,Clear
119,Poum,NC,-20.23,164.02,23.75,86,5.18,Rain
120,Poum,NC,-20.23,164.02,23.75,86,5.18,Rain
121,Sassandra,CI,4.95,-6.08,26.79,88,2.57,Clouds
122,Sassandra,CI,4.95,-6.08,26.79,88,2.57,Clouds
123,Kapaa,US,22.08,-159.32,27.0,61,8.2,Clear
124,Kapaa,US,22.08,-159.32,27.0,61,8.2,Clear
125,Turukhansk,RU,65.82,87.98,-5.27,95,4.93,Clouds
126,Turukhansk,RU,65.82,87.98,-5.27,95,4.93,Clouds
127,Massakory,TD,13.0,15.73,28.53,42,2.32,Clouds
128,Massakory,TD,13.0,15.73,28.53,42,2.32,Clouds
129,Vung Tau,VN,10.35,107.08,27.87,85,5.04,Rain
130,Vung Tau,VN,10.35,107.08,27.87,85,5.04,Rain
131,Te Anau,NZ,-45.42,167.72,5.58,80,3.28,Rain
132,Te Anau,NZ,-45.42,167.72,5.58,80,3.28,Rain
133,Taoudenni,ML,22.68,-3.98,34.65,9,2.52,Clear
134,Taoudenni,ML,22.68,-3.98,34.65,9,2.52,Clear
135,Sühbaatar,MN,50.23,106.21,11.18,43,2.56,Clouds
136,Constantine,DZ,36.37,6.61,19.0,52,1.0,Clouds
137,Constantine,DZ,36.37,6.61,19.0,52,1.0,Clouds
138,Shangrao,CN,28.45,117.97,22.7,88,1.51,Rain
139,Shangrao,CN,28.45,117.97,22.7,88,1.51,Rain
140,Cherkasskoye,RU,52.43,47.22,14.35,65,3.54,Clouds
141,Cherkasskoye,RU,52.43,47.22,14.35,65,3.54,Clouds
142,Beachwood,US,41.46,-81.51,9.44,65,4.6,Clouds
143,Beachwood,US,41.46,-81.51,9.44,65,4.6,Clouds
144,Enterprise,US,36.03,-115.24,31.11,10,3.02,Clear
145,Enterprise,US,36.03,-115.24,31.11,10,3.02,Clear
146,Pangnirtung,CA,66.15,-65.71,-11.0,78,5.7,Clouds
147,Pangnirtung,CA,66.15,-65.71,-11.0,78,5.7,Clouds
148,Hithadhoo,MV,-0.6,73.08,29.08,73,4.51,Rain
149,Hithadhoo,MV,-0.6,73.08,29.08,73,4.51,Rain
150,Ribeira Grande,PT,38.52,-28.7,16.31,77,10.95,Clouds
151,Ribeira Grande,PT,38.52,-28.7,16.31,77,10.95,Clouds
152,Ordu,TR,40.91,37.68,8.03,72,1.23,Clouds
153,Ordu,TR,40.91,37.68,8.03,72,1.23,Clouds
154,Terrace Bay,CA,48.78,-87.1,4.0,60,2.6,Clouds
155,Terrace Bay,CA,48.78,-87.1,4.0,60,2.6,Clouds
156,Hamilton,US,39.18,-84.53,20.0,40,2.1,Clear
157,Hamilton,US,39.18,-84.53,20.0,40,2.1,Clear
158,Bluff,NZ,-46.6,168.33,8.5,75,11.03,Rain
159,Bluff,NZ,-46.6,168.33,8.5,75,11.03,Rain
160,Borogontsy,RU,62.67,131.17,-1.07,92,1.21,Clear
161,Borogontsy,RU,62.67,131.17,-1.07,92,1.21,Clear
162,Saskylakh,RU,71.92,114.08,-13.39,94,5.35,Clouds
163,Saskylakh,RU,71.92,114.08,-13.39,94,5.35,Clouds
164,Yellowknife,CA,62.46,-114.35,4.0,55,2.6,Clouds
165,Yellowknife,CA,62.46,-114.35,4.0,55,2.6,Clouds
166,Mareeba,AU,-17.0,145.43,22.0,64,4.6,Clouds
167,Mareeba,AU,-17.0,145.43,22.0,64,4.6,Clouds
168,Kaitangata,NZ,-46.28,169.85,7.78,75,6.71,Rain
169,Kaitangata,NZ,-46.28,169.85,7.78,75,6.71,Rain
170,Vaini,TO,-21.2,-175.2,27.0,78,2.6,Clouds
171,Vaini,TO,-21.2,-175.2,27.0,78,2.6,Clouds
172,Wattegama,LK,6.8,81.48,24.56,87,0.54,Clouds
173,Wattegama,LK,6.8,81.48,24.56,87,0.54,Clouds
174,Narsaq,GL,60.92,-46.05,6.0,56,1.5,Clouds
175,Narsaq,GL,60.92,-46.05,6.0,56,1.5,Clouds
176,Watsa,CD,3.04,29.54,18.97,74,0.87,Clouds
177,Watsa,CD,3.04,29.54,18.97,74,0.87,Clouds
178,Saint-Joseph,RE,-21.37,55.62,24.0,73,2.6,Clouds
179,Saint-Joseph,RE,-21.37,55.62,24.0,73,2.6,Clouds
180,Portland,US,45.52,-122.68,21.67,34,3.6,Clouds
181,Portland,US,45.52,-122.68,21.67,34,3.6,Clouds
182,Kuybyshevo,RU,47.81,38.91,14.01,80,1.05,Clouds
183,Kuybyshevo,RU,47.81,38.91,14.01,80,1.05,Clouds
184,Bambous Virieux,MU,-20.34,57.76,24.44,83,3.6,Clouds
185,Bambous Virieux,MU,-20.34,57.76,24.44,83,3.6,Clouds
186,Tsabong,BW,-26.02,22.4,19.52,18,2.75,Clear
187,Tsabong,BW,-26.02,22.4,19.52,18,2.75,Clear
188,Liuzhou,CN,24.31,109.39,24.5,83,2.9,Clouds
189,Liuzhou,CN,24.31,109.39,24.5,83,2.9,Clouds
190,Bowen,AU,-20.02,148.23,21.11,87,1.5,Clear
191,Bowen,AU,-20.02,148.23,21.11,87,1.5,Clear
192,Leningradskiy,RU,69.38,178.42,-5.58,88,1.28,Clear
193,Leningradskiy,RU,69.38,178.42,-5.58,88,1.28,Clear
194,Jiuquan,CN,39.74,98.52,13.94,27,2.39,Clouds
195,Jiuquan,CN,39.74,98.52,13.94,27,2.39,Clouds
196,Khandyga,RU,62.67,135.6,-1.37,93,1.05,Clouds
197,Khandyga,RU,62.67,135.6,-1.37,93,1.05,Clouds
198,Keti Bandar,PK,24.14,67.45,27.18,86,6.51,Clear
199,Keti Bandar,PK,24.14,67.45,27.18,86,6.51,Clear
200,Keshorai Pātan,IN,25.3,75.93,27.69,39,1.18,Rain
201,Upernavik,GL,72.79,-56.15,-6.07,95,9.3,Snow
202,Upernavik,GL,72.79,-56.15,-6.07,95,9.3,Snow
203,Isangel,VU,-19.55,169.27,26.0,88,3.33,Clouds
204,Isangel,VU,-19.55,169.27,26.0,88,3.33,Clouds
205,East London,ZA,-33.02,27.91,18.74,74,5.26,Clear
206,East London,ZA,-33.02,27.91,18.74,74,5.26,Clear
207,Aykhal,RU,66.0,111.5,3.0,47,4.0,Clouds
208,Aykhal,RU,66.0,111.5,3.0,47,4.0,Clouds
209,Willowmore,ZA,-33.29,23.49,9.72,63,0.63,Clouds
210,Willowmore,ZA,-33.29,23.49,9.72,63,0.63,Clouds
211,Punta Arenas,CL,-53.15,-70.92,8.0,70,3.1,Clear
212,Punta Arenas,CL,-53.15,-70.92,8.0,70,3.1,Clear
213,Touros,BR,-5.2,-35.46,25.0,94,1.5,Clouds
214,Touros,BR,-5.2,-35.46,25.0,94,1.5,Clouds
215,Yaan,NG,7.38,8.57,26.34,78,1.92,Clouds
216,Yaan,NG,7.38,8.57,26.34,78,1.92,Clouds
217,Nerchinskiy Zavod,RU,51.31,119.61,4.78,65,2.43,Clouds
218,Nerchinskiy Zavod,RU,51.31,119.61,4.78,65,2.43,Clouds
219,Selizharovo,RU,56.85,33.45,9.42,89,1.86,Clouds
220,Selizharovo,RU,56.85,33.45,9.42,89,1.86,Clouds
221,Letpadan,MM,17.78,95.75,27.4,67,0.48,Clouds
222,Letpadan,MM,17.78,95.75,27.4,67,0.48,Clouds
223,Mpika,ZM,-11.83,31.45,14.95,44,3.65,Clear
224,Mpika,ZM,-11.83,31.45,14.95,44,3.65,Clear
225,Coxim,BR,-18.51,-54.76,24.66,53,1.56,Clouds
226,Coxim,BR,-18.51,-54.76,24.66,53,1.56,Clouds
227,Chokurdakh,RU,70.63,147.92,-7.04,97,1.29,Clouds
228,Chokurdakh,RU,70.63,147.92,-7.04,97,1.29,Clouds
229,Rawson,AR,-43.3,-65.1,11.94,67,9.91,Clouds
230,Rawson,AR,-43.3,-65.1,11.94,67,9.91,Clouds
231,Akdepe,TM,42.06,59.38,19.0,72,3.6,Clouds
232,Akdepe,TM,42.06,59.38,19.0,72,3.6,Clouds
233,Boende,CD,-0.22,20.87,25.14,71,1.02,Clouds
234,Boende,CD,-0.22,20.87,25.14,71,1.02,Clouds
235,Majene,ID,-3.54,118.97,26.02,86,3.23,Clouds
236,Majene,ID,-3.54,118.97,26.02,86,3.23,Clouds
237,Grand Forks,US,47.93,-97.03,8.0,75,2.6,Rain
238,Grand Forks,US,47.93,-97.03,8.0,75,2.6,Rain
239,Stepnogorsk,KZ,52.35,71.89,3.26,67,2.18,Clear
240,Stepnogorsk,KZ,52.35,71.89,3.26,67,2.18,Clear
241,Kruisfontein,ZA,-34.0,24.73,13.82,81,2.04,Clear
242,Kruisfontein,ZA,-34.0,24.73,13.82,81,2.04,Clear
243,Hasaki,JP,35.73,140.83,18.0,100,1.0,Fog
244,Hasaki,JP,35.73,140.83,18.0,100,1.0,Fog
245,Yulara,AU,-25.24,130.99,9.0,42,3.1,Clear
246,Yulara,AU,-25.24,130.99,9.0,42,3.1,Clear
247,Breves,BR,-1.68,-50.48,25.61,94,1.39,Rain
248,Breves,BR,-1.68,-50.48,25.61,94,1.39,Rain
249,Kyabé,TD,9.45,18.94,28.02,49,1.85,Clouds
250,Port Alfred,ZA,-33.59,26.89,16.67,86,2.24,Clear
251,Port Alfred,ZA,-33.59,26.89,16.67,86,2.24,Clear
252,Tasiilaq,GL,65.61,-37.64,5.0,48,6.2,Clear
253,Tasiilaq,GL,65.61,-37.64,5.0,48,6.2,Clear
254,Beringovskiy,RU,63.05,179.32,-3.01,94,3.02,Clouds
255,Beringovskiy,RU,63.05,179.32,-3.01,94,3.02,Clouds
256,Kavieng,PG,-2.57,150.8,28.76,79,5.08,Clouds
257,Kavieng,PG,-2.57,150.8,28.76,79,5.08,Clouds
258,Castro,BR,-24.79,-50.01,13.44,48,0.61,Clear
259,Castro,BR,-24.79,-50.01,13.44,48,0.61,Clear
260,Zhigansk,RU,66.77,123.37,-3.0,95,4.08,Clouds
261,Zhigansk,RU,66.77,123.37,-3.0,95,4.08,Clouds
262,Omboué,GA,-1.57,9.27,26.19,91,2.42,Rain
263,Omboué,GA,-1.57,9.26,26.22,91,2.46,Rain
264,Mandalī,IQ,33.75,45.55,29.93,13,5.99,Clouds
265,Erzin,TR,36.96,36.2,17.78,88,0.63,Clear
266,Erzin,TR,36.96,36.2,17.78,88,0.63,Clear
267,Marsh Harbour,BS,26.54,-77.06,24.21,64,2.8,Clear
268,Marsh Harbour,BS,26.54,-77.06,24.21,64,2.8,Clear
269,Pompéu,BR,-19.22,-45.0,19.53,70,1.03,Clear
270,Pompéu,BR,-19.22,-44.94,18.32,69,1.07,Clear
271,Khor,RU,47.89,134.95,5.84,65,2.4,Clouds
272,Khor,RU,47.89,134.95,5.84,65,2.4,Clouds
273,Lompoc,US,34.64,-120.46,26.0,46,8.7,Haze
274,Lompoc,US,34.64,-120.46,26.0,46,8.7,Haze
275,Mariakani,KE,-3.86,39.47,23.77,85,3.31,Clouds
276,Mariakani,KE,-3.86,39.47,23.77,85,3.31,Clouds
277,Arraial do Cabo,BR,-22.97,-42.03,22.0,73,3.6,Clouds
278,Arraial do Cabo,BR,-22.97,-42.03,22.0,73,3.6,Clouds
279,Black Diamond,US,47.31,-122.0,19.44,38,0.45,Clouds
280,Black Diamond,US,47.31,-122.0,19.44,38,0.45,Clouds
281,Cape Town,ZA,-33.93,18.42,15.56,87,2.6,Clouds
282,Cape Town,ZA,-33.93,18.42,15.56,87,2.6,Clouds
283,Kamenka,RU,51.32,42.77,14.44,61,5.18,Clouds
284,Kamenka,RU,51.32,42.77,14.44,61,5.18,Clouds
285,Borskoye,RU,53.03,51.72,12.84,59,4.43,Clear
286,Borskoye,RU,53.03,51.72,12.84,59,4.43,Clear
287,Horsham,GB,51.06,-0.33,9.44,76,6.2,Clouds
288,Horsham,GB,51.06,-0.33,9.44,76,6.2,Clouds
289,Antofagasta,CL,-23.65,-70.4,17.0,72,6.2,Clouds
290,Antofagasta,CL,-23.65,-70.4,17.0,72,6.2,Clouds
